id,learningEdge,congestion,density,gpsProbeSpeed,speed
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.57,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.53,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.48,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.42,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.45,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.49,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.51,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.53,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.53,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.55,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,9.59,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,9.62,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,9.65,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,9.67,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.65,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.59,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.58,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,None,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,None,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.58,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.58,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.58,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.58,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.58,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.58,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.1,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.78,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.61,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.66,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.7,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.81,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.82,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.62,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.44,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.29,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02067947,8.35,9.06
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02067947,8.49,9.06
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02067947,8.56,9.06
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02215657,8.35,9.05
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02215657,8.06,9.05
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02215657,7.66,9.05
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.02363368,7.51,8.72
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.02363368,7.69,8.72
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.02363368,7.77,8.72
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.02363368,7.84,8.72
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.84,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,7.71,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.69,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.01,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.99,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.95,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.04,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.39,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.61,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.75,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.78,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.77,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.72,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.76,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.06,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.3,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.31,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.03,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.71,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.5,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.44,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.44,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.44,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.39,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.25,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.03,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.14,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.86,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.58,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.58,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.58,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.58,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.62,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.65,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.64,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,9.63,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.64,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,9.64,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,9.64,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.86,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,10.09,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.98,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.94,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.94,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.9,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.84,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.84,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.8,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.71,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.59,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.39,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.42,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.44,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.42,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.41,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.43,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.44,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.44,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.48,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.52,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.54,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.55,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.55,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.58,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.59,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.57,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.56,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.57,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.57,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.57,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.55,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.54,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.53,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.26,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.92,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.93,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.91,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.52,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.23,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.96,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.96,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.04,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.24,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.33,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.35,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.37,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.36,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.41,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.65,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.0,8.87
